"","Tumor_1","Tumor_2","Tumor_3","Tumor_4","Tumor_5","Normal_1","Normal_2","Normal_3","Normal_4","Normal_5"
"ENSG00000007933.13",125,112,97,33,28,168,320,47,517,112
"ENSG00000007944.15",9635,2022,16353,1082,460,2695,1791,3436,2766,2105
"ENSG00000007952.18",151,72,142,143,62,38,10,50,52,53
"ENSG00000007968.7",254,362,449,1107,4002,68,6,100,88,51
"ENSG00000008018.9",10231,8756,4427,18445,8414,4573,5449,4332,8459,9754
"ENSG00000008056.14",41,47,2326,32,118,9,37,11,28,41
"ENSG00000008083.14",2779,4681,3956,799,5766,1701,626,1613,1798,1031
"ENSG00000008086.13",3005,2556,1597,640,805,1323,599,1539,1212,594
"ENSG00000008118.10",170,7,615,4,23,3,3,11,7,10
"ENSG00000008128.23",20,22,35,92,39,44,26,39,31,57
"ENSG00000008130.15",2627,2745,1586,3694,4255,3556,4096,2317,2970,3421
"ENSG00000008196.13",268,22792,3,1,29,3099,24,6795,2301,4125
"ENSG00000008197.5",0,0,1,0,0,0,0,0,0,0
"ENSG00000008226.20",22,47,142,10,84,94,32,102,81,136
"ENSG00000008256.16",3236,846,3980,2560,3851,2414,3002,1708,3232,2605
"ENSG00000008277.14",574,171,1366,280,175,440,94,444,425,372
"ENSG00000008282.9",10967,11817,3047,3518,4767,6714,5276,7507,10503,6611
"ENSG00000008283.16",9499,13015,5883,35105,13673,4432,1597,5742,7540,7735
"ENSG00000008294.21",11891,6870,10637,2325,8836,5529,5299,3606,5796,2640
"ENSG00000008300.17",2423,492,4276,1444,6636,202,61,119,129,147
"ENSG00000008311.15",679,514,1197,111,217,1789,4329,1180,1561,751
"ENSG00000008323.15",1356,859,637,1123,6372,1181,1982,711,1415,1518
"ENSG00000008324.12",625,849,1374,1440,1495,568,422,732,736,1162
"ENSG00000008382.16",441,675,255,1352,437,344,318,410,549,938
"ENSG00000008394.13",28904,10049,493,11207,9541,11220,25715,7364,7235,16477
"ENSG00000008405.12",1681,1495,2201,754,2450,1669,568,1191,3650,1402
"ENSG00000008438.5",0,3,0,1,4,1,3,2,0,10
"ENSG00000008441.18",3699,10652,993,587,18935,10325,8747,11984,18959,8343
"ENSG00000008513.16",6237,20008,27322,5897,4430,3485,4511,2212,2939,2498
"ENSG00000008516.17",26,84,36,112,528,122,37,121,124,325
"ENSG00000008517.18",1146,1046,641,688,13841,631,425,706,1714,1254
"ENSG00000008710.20",2781,2922,1236,2185,3423,4319,4107,2593,3712,2417
"ENSG00000008735.14",4877,546,8416,3993,2387,318,380,498,341,608
"ENSG00000008838.20",30906,8395,6795,3036,7430,5514,1556,3979,5281,4981
"ENSG00000008853.17",1384,1386,447,2268,433,1043,703,1110,1299,1694
"ENSG00000008869.12",3411,6863,8641,981,2105,3265,2347,2903,2512,1376
"ENSG00000008952.17",13682,18051,22200,5035,7316,8939,6537,6827,11411,7245
"ENSG00000008988.11",34147,31932,29850,63550,75031,40021,79957,35013,49787,81191
"ENSG00000009307.16",46592,36168,87536,15422,108617,44245,37439,37167,46916,30908
"ENSG00000009335.18",10068,9707,10147,3470,8801,4991,3121,4359,5485,3406
"ENSG00000009413.16",2767,2038,1282,316,2882,2823,1931,1724,2027,660
"ENSG00000009694.13",12,2,19,1,20,156,130,94,76,47
"ENSG00000009709.12",10,4540,0,2,3,0,0,2,0,4
"ENSG00000009724.17",39,35,126,6,49,133,27,138,97,37
"ENSG00000009765.15",6756,58,8,1091,2,5,0,37,4,30
"ENSG00000009780.16",835,742,817,718,896,796,715,707,1032,917
"ENSG00000009790.15",71,247,100,108,866,258,51,301,160,246
"ENSG00000009830.12",849,2057,1244,1405,1906,1608,895,1535,1558,1877
"ENSG00000009844.16",6004,3678,3006,1731,4015,2015,1257,2109,2823,1881
"ENSG00000009950.16",53,168,15,114,96,1246,9174,152,182,1153
"ENSG00000009954.11",10990,13086,9217,2705,12233,5844,3986,4957,6142,3525
"ENSG00000010017.13",7868,3029,7210,863,5385,1846,2321,1752,1927,1324
"ENSG00000010030.14",169,232,18,29,955,57,13,158,106,147
"ENSG00000010072.16",1072,2295,1471,372,1047,639,205,602,692,502
"ENSG00000010165.20",2500,6334,4347,2513,4968,1935,1169,2351,2509,2400
